Gandalf Index,Maximum Similarity,Closest Training Index
9577,0.1514106181316257,5618
7626,0.15714801457470784,3871
15906,0.17410841868822746,3157
7763,0.26480960833418576,13986
11652,0.27393617009646043,6657
8424,0.18321877303355372,4358
5644,0.17146688605353033,3859
5391,0.16118563403829,13359
4053,0.14982824938651595,10255
14598,0.1927560465697682,5719
14513,0.13342033639920536,7506
14312,0.1213462593808664,2431
11272,0.23160254268162284,7806
4653,0.19914133743282225,2498
5887,0.19060676173474023,1341
1404,0.12819063339396042,15815
7377,0.11820536150568706,8589
9549,0.21243943957976263,798
12792,0.1834928963326976,1313
4212,0.15191815240002926,11740
9581,0.12991570798630758,768
7104,0.19829463072152098,8815
15568,0.15555817973234598,7870
335,0.19141998806987215,2962
11938,0.11123237195489433,9743
9400,0.24716278508149248,6437
13341,0.16269735128461038,15731
9538,0.2981339571248145,10918
92,0.1824671052821698,14023
12662,0.16117813129997116,755
11542,0.17303975422868123,6657
8658,0.293030593461689,3407
9811,0.17161908461418374,14079
10278,0.16915464811662595,10686
628,0.12106072155817738,14911
2450,0.22294031661407043,7607
14318,0.18651957012491827,6964
1224,0.18553889381688826,13574
806,0.197695131485913,13022
8299,0.17700200866174143,7046
14749,0.1413766403081852,2557
13567,0.22359826296030982,4566
5244,0.12890256579930048,9026
7047,0.1336390339734319,9623
10819,0.20427897337499357,12310
3953,0.17623445955999917,1705
5085,0.14313041663361492,2877
8082,0.2476134474069166,12981
6851,0.2445947897171905,1341
348,0.1894655601214874,127
6073,0.1407284378279393,6269
4926,0.18226267283388453,8319
4387,0.17567044045510605,2002
8256,0.1964956868656349,7301
8284,0.15296446926911167,2668
430,0.13683008735695423,4630
14238,0.130278639847203,3041
3944,0.18761342057459762,7259
575,0.3093527505814533,3363
2075,0.1603207522769533,9117
12697,0.1367836061345007,7291
4754,0.17300805493828342,12551
15380,0.1816959002147287,932
4170,0.1462358319439011,3401
1196,0.20954170342972078,15618
7111,0.12458399359230177,15834
3105,0.13324576508876418,15588
6258,0.30613654332716045,1991
8905,0.1600595594374533,1706
4485,0.160394304641145,11581
15478,0.2587838524231294,9534
8688,0.15392504280410146,4209
4297,0.18825766620406625,6828
14507,0.30071890180562955,9350
891,0.1957443079530341,902
4493,0.17066706290898126,3489
11183,0.2253885470011301,2117
12741,0.12559675342402177,5618
3395,0.14352321792958278,4990
13968,0.1610029830386599,10
5531,0.2015966245969968,13776
15483,0.2738536481457783,13405
4121,0.20807751786903683,6337
4158,0.1586889737806958,14346
2754,0.1319029182488889,11401
8285,0.2239363567515582,3438
11738,0.12333341719986468,6736
8166,0.2035735481534543,2218
6903,0.18321382239644124,9517
9965,0.14725196950420627,16008
4776,0.17438162635186816,12841
5791,0.09860285514349332,12907
4077,0.14534796477521872,8513
10379,0.24392140263388185,13654
12849,0.13222973378993386,11909
9820,0.14155588771298033,3014
7289,0.18139975031176359,7213
15240,0.16658973704318059,12353
7902,0.21648310314835062,13838
15215,0.14423647682567342,4814
641,0.1593080490185309,2361
8249,0.2886180787584117,6005
2025,0.37119386570758806,6429
5553,0.18722499835748896,3154
12058,0.16465457499539593,2486
196,0.20048850566194565,8528
14621,0.1572427846106842,5484
7305,0.1682023936407282,9026
277,0.15910408542594934,12937
13839,0.2865520749212471,12188
11363,0.2191334476272545,14330
10145,0.12249463004044203,14316
5440,0.17004102447031888,2588
2096,0.13795998539421017,13180
5392,0.2853363650444417,8001
2259,0.12194322252376488,2769
11692,0.13487522764287263,12342
15918,0.12301654230955217,9975
12645,0.20957787440462172,12841
14564,0.20756133468903348,6657
1516,0.16604491045047587,4186
5294,0.12283677982618169,10501
4259,0.14659485821721852,3729
14329,0.2033601065742482,15717
579,0.14667524728575831,10336
3220,0.1661357477898706,9309
13206,0.25338657718451796,1679
15600,0.1524796487521347,15502
13166,0.16933661797840993,1293
199,0.16715373982547743,5486
5259,0.2982684178724059,11815
814,0.12690637841728292,226
8768,0.20350894630005856,11431
105,0.19048195872749452,7870
6853,0.15567944255780652,4334
3228,0.2280715613856248,4941
6404,0.12775487477560665,9260
1752,0.1371954522866543,8232
793,0.24071817013716212,9613
5658,0.16771990356657585,3031
7190,0.14897019389639643,256
8318,0.26487045694827727,13883
14769,0.12849425200258713,10525
1570,0.15950664385186286,2910
10854,0.1202454408720286,9980
13455,0.1978908196556386,12476
2088,0.20332266370107277,7909
11347,0.15289229602881627,15108
2900,0.1135674236218821,8136
1245,0.21672366276023047,1063
12246,0.14975349707857077,7155
2136,0.1724758420409387,7855
15116,0.2841913313357519,11648
2658,0.17122431463891052,3076
6544,0.18715151138442065,14040
3399,0.1561553882999166,5563
13712,0.14470058994501322,167
521,0.1752543451830516,8760
4774,0.24806456198331772,14800
15287,0.1333086833880187,14086
14963,0.17464682943901577,2948
15492,0.3050403265398589,8852
15112,0.21020835177894193,5463
7079,0.1869798200809687,9233
11237,0.16597864154696862,11901
174,0.25142520404484103,12556
9354,0.1364058505515422,3506
10010,0.10334665935528875,668
3835,0.17588306515096708,7855
5345,0.1776646063752465,8453
14299,0.2652148399841743,6626
3773,0.13064207567618857,13602
6772,0.22341570285249768,8877
8696,0.21382095097570442,8949
1385,0.14828006740306188,859
2922,0.1897490375855908,12397
12803,0.12288175410837554,8866
4795,0.3108021410901478,14086
9247,0.19009454563955974,15898
10781,0.13289719385182774,3208
6253,0.15653272915006655,14107
15775,0.2140178549116345,686
5368,0.2076176259084681,9291
948,0.26258754383144023,859
10643,0.16592173291633316,3873
11083,0.1603267470192875,5421
6382,0.1499755420838249,7259
2700,0.1482164956773161,6811
9409,0.18581405626755743,12889
12288,0.27563552447909223,10345
14194,0.16914552722482012,1378
1124,0.14642593880062849,1843
9224,0.1614414905398125,12713
15913,0.30378831774562975,8246
14938,0.1223643715711833,3803
6691,0.22557132070054586,1046
984,0.2536136539686292,10558
5578,0.155504707053972,14465
8279,0.20099939560206936,14528
15705,0.19212412668930245,5057
7963,0.21385918522497538,4394
212,0.17321567981492458,2257
8108,0.14944844343114305,1661
3400,0.1578365124756207,7855
14760,0.1710116448193062,6828
12513,0.1376686186181454,10986
2666,0.15446969583729553,6491
9320,0.1530188245247841,8899
8773,0.3115182566245803,1991
5166,0.1398825702915496,13122
3534,0.19877844645658438,1524
6712,0.15742769400246126,11491
11595,0.10386305447914734,5290
3132,0.15270668286631928,15335
42,0.1580910634791597,6852
6839,0.15075050302632187,2558
1261,0.1717914823599347,1325
4086,0.20416357723392997,14233
12019,0.17543003414203073,5396
6916,0.21707026797404272,2670
13915,0.3204339360366102,12482
12585,0.18395777231980692,6736
12020,0.15597175958239096,12985
4788,0.16651946226430514,5859
15377,0.2783986263159852,14378
10625,0.09452799217494945,12606
13229,0.15310850796271758,13393
8676,0.2509238469506243,15126
6290,0.15030231680514716,474
14146,0.1425779579425619,10837
9206,0.1405982252331126,1260
1579,0.36866192809957954,2048
15727,0.21922237881816253,12721
852,0.17916874288227846,11257
